ath1000.fasta_00000	ath1000.fasta_00000	100.0	429	0	0	1	429	1	429	2.8e-254	869.8
ath1000.fasta_00000	ath1000.fasta_00128	34.2	336	157	10	1	330	1	278	9.8e-42	163.7
ath1000.fasta_00001	ath1000.fasta_00001	100.0	198	0	0	1	198	1	198	3.9e-102	363.2
ath1000.fasta_00002	ath1000.fasta_00002	100.0	358	0	0	1	358	1	358	3.4e-165	573.5
ath1000.fasta_00003	ath1000.fasta_00003	100.0	1909	0	0	1	1909	1	1909	0.0e+00	3612.8
ath1000.fasta_00004	ath1000.fasta_00004	100.0	212	0	0	1	212	1	212	9.5e-123	431.8
ath1000.fasta_00005	ath1000.fasta_00005	100.0	643	0	0	1	643	1	643	0.0e+00	1122.1
ath1000.fasta_00006	ath1000.fasta_00006	100.0	365	0	0	1	365	1	365	2.2e-191	660.6
ath1000.fasta_00006	ath1000.fasta_00895	32.1	355	235	3	16	365	8	361	4.9e-50	191.0
ath1000.fasta_00007	ath1000.fasta_00007	100.0	286	0	0	1	286	1	286	2.9e-159	553.5
ath1000.fasta_00008	ath1000.fasta_00008	100.0	428	0	0	1	428	1	428	5.4e-250	855.5
ath1000.fasta_00009	ath1000.fasta_00009	100.0	112	0	0	1	112	1	112	2.2e-38	150.6
ath1000.fasta_00010	ath1000.fasta_00010	100.0	527	0	0	1	527	1	527	1.3e-253	867.8
ath1000.fasta_00011	ath1000.fasta_00011	100.0	528	0	0	1	528	1	528	8.5e-306	1041.2
ath1000.fasta_00011	ath1000.fasta_00337	60.6	502	185	6	32	526	20	515	1.0e-173	602.4
ath1000.fasta_00011	ath1000.fasta_00716	40.2	458	254	4	89	527	38	494	4.4e-100	357.8
ath1000.fasta_00012	ath1000.fasta_00012	100.0	124	0	0	1	124	1	124	2.2e-71	260.4
ath1000.fasta_00012	ath1000.fasta_00013	85.3	34	5	0	85	118	397	430	2.3e-12	64.3
ath1000.fasta_00013	ath1000.fasta_00013	100.0	447	0	0	1	447	1	447	1.5e-258	884.0
ath1000.fasta_00013	ath1000.fasta_00821	29.1	265	177	6	19	276	15	275	2.1e-31	129.4
ath1000.fasta_00013	ath1000.fasta_00306	27.5	280	160	4	18	255	136	414	3.1e-30	125.6
ath1000.fasta_00013	ath1000.fasta_00058	35.4	198	116	5	23	214	44	235	1.5e-21	96.7
ath1000.fasta_00013	ath1000.fasta_00989	31.5	197	126	4	23	214	36	228	2.7e-18	85.9
ath1000.fasta_00013	ath1000.fasta_00950	28.7	209	129	7	18	216	82	280	1.1e-14	73.9
